"GEO_ID","NAME","B25031_001E","B25031_001M","B25031_002E","B25031_002M","B25031_003E","B25031_003M","B25031_004E","B25031_004M","B25031_005E","B25031_005M","B25031_006E","B25031_006M","B25031_007E","B25031_007M",
"Geography","Geographic Area Name","Estimate!!Median gross rent --!!Total","Margin of Error!!Median gross rent --!!Total","Estimate!!Median gross rent --!!Total!!No bedroom","Margin of Error!!Median gross rent --!!Total!!No bedroom","Estimate!!Median gross rent --!!Total!!1 bedroom","Margin of Error!!Median gross rent --!!Total!!1 bedroom","Estimate!!Median gross rent --!!Total!!2 bedrooms","Margin of Error!!Median gross rent --!!Total!!2 bedrooms","Estimate!!Median gross rent --!!Total!!3 bedrooms","Margin of Error!!Median gross rent --!!Total!!3 bedrooms","Estimate!!Median gross rent --!!Total!!4 bedrooms","Margin of Error!!Median gross rent --!!Total!!4 bedrooms","Estimate!!Median gross rent --!!Total!!5 or more bedrooms","Margin of Error!!Median gross rent --!!Total!!5 or more bedrooms",
"8600000US00601","ZCTA5 00601","363","40","-","**","220","105","341","48","392","50","376","231","-","**",
"8600000US00602","ZCTA5 00602","405","35","-","**","285","86","377","26","496","52","-","**","-","**",
"8600000US00603","ZCTA5 00603","427","20","259","58","246","70","412","21","523","49","649","45","-","**",
"8600000US00606","ZCTA5 00606","312","70","-","**","-","**","270","49","444","206","-","**","-","**",
"8600000US00610","ZCTA5 00610","410","45","-","**","370","26","313","37","469","42","558","276","-","**",
"8600000US00612","ZCTA5 00612","389","23","188","98","266","60","292","62","510","36","571","118","803","496",
"8600000US00616","ZCTA5 00616","388","164","-","**","100-","***","397","383","664","344","-","**","-","**",
"8600000US00617","ZCTA5 00617","475","64","325","136","394","89","396","209","609","178","-","**","-","**",
"8600000US00622","ZCTA5 00622","456","164","-","**","-","**","-","**","504","55","-","**","-","**",
"8600000US00623","ZCTA5 00623","432","35","-","**","271","203","370","39","502","78","466","100","-","**",
"8600000US00624","ZCTA5 00624","428","16","-","**","-","**","274","16","433","15","538","123","-","**",
"8600000US00627","ZCTA5 00627","449","34","193","65","406","261","416","38","524","82","661","393","-","**",
"8600000US00631","ZCTA5 00631","268","92","-","**","-","**","244","145","355","188","-","**","-","**",
"8600000US00637","ZCTA5 00637","474","37","-","**","188","88","247","130","505","35","-","**","-","**",
"8600000US00638","ZCTA5 00638","385","26","-","**","362","31","378","31","389","64","521","176","-","**",
"8600000US00641","ZCTA5 00641","407","26","-","**","-","**","273","90","438","21","503","77","-","**",
"8600000US00646","ZCTA5 00646","655","106","-","**","555","77","575","102","596","151","1171","351","100-","***",
"8600000US00647","ZCTA5 00647","-","**","-","**","-","**","-","**","630","321","-","**","-","**",
"8600000US00650","ZCTA5 00650","538","47","-","**","-","**","457","298","551","40","-","**","-","**",
"8600000US00652","ZCTA5 00652","439","296","-","**","-","**","-","**","-","**","-","**","-","**",
"8600000US00653","ZCTA5 00653","406","77","-","**","-","**","157","63","505","49","369","253","-","**",
"8600000US00656","ZCTA5 00656","340","42","-","**","633","171","250","61","483","213","322","188","-","**",
"8600000US00659","ZCTA5 00659","439","23","-","**","303","106","406","32","507","55","-","**","-","**",
"8600000US00660","ZCTA5 00660","400","46","100-","***","186","56","425","25","581","126","-","**","-","**",
"8600000US00662","ZCTA5 00662","469","33","-","**","291","45","470","41","461","62","528","66","815","92",
"8600000US00664","ZCTA5 00664","400","75","-","**","357","104","334","14","407","109","-","**","-","**",
"8600000US00667","ZCTA5 00667","451","43","-","**","-","**","353","171","463","38","654","280","-","**",
"8600000US00669","ZCTA5 00669","422","35","-","**","172","140","316","16","448","23","511","140","-","**",
"8600000US00670","ZCTA5 00670","291","38","-","**","404","183","268","31","365","81","244","45","-","**",
"8600000US00674","ZCTA5 00674","486","42","-","**","357","37","415","66","578","42","541","479","-","**",
"8600000US00676","ZCTA5 00676","420","18","-","**","230","85","393","38","462","31","449","113","-","**",
"8600000US00677","ZCTA5 00677","447","39","-","**","-","**","466","48","465","309","436","389","-","**",
"8600000US00678","ZCTA5 00678","469","39","-","**","-","**","419","78","493","47","-","**","-","**",
"8600000US00680","ZCTA5 00680","423","19","450","94","286","103","403","41","456","29","586","161","856","137",
"8600000US00682","ZCTA5 00682","411","23","415","93","262","65","270","59","457","25","862","215","-","**",
"8600000US00683","ZCTA5 00683","416","29","-","**","350","106","376","38","483","37","620","199","-","**",
"8600000US00685","ZCTA5 00685","402","19","-","**","279","110","373","19","437","24","424","25","-","**",
"8600000US00687","ZCTA5 00687","510","47","-","**","264","33","235","85","540","37","861","150","-","**",
"8600000US00688","ZCTA5 00688","433","43","-","**","-","**","391","46","561","104","-","**","-","**",
"8600000US00690","ZCTA5 00690","608","76","-","**","-","**","517","116","624","123","1282","1114","-","**",
"8600000US00692","ZCTA5 00692","511","35","-","**","458","162","493","31","552","68","-","**","-","**",
"8600000US00693","ZCTA5 00693","529","46","-","**","407","330","444","41","627","44","661","558","-","**",
"8600000US00694","ZCTA5 00694","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"8600000US00698","ZCTA5 00698","368","49","115","51","129","38","221","107","476","53","391","51","-","**",
"8600000US00703","ZCTA5 00703","469","75","-","**","-","**","391","62","515","30","488","274","-","**",
"8600000US00704","ZCTA5 00704","401","84","-","**","-","**","326","36","461","46","-","**","-","**",
"8600000US00705","ZCTA5 00705","457","34","-","**","-","**","452","35","518","100","484","162","-","**",
"8600000US00707","ZCTA5 00707","375","40","-","**","-","**","393","151","405","45","326","20","-","**",
"8600000US00714","ZCTA5 00714","475","57","-","**","-","**","459","92","500","80","-","**","-","**",
"8600000US00715","ZCTA5 00715","301","157","150","79","-","**","321","18","-","**","-","**","-","**",
"8600000US00716","ZCTA5 00716","382","45","-","**","179","58","341","67","534","134","100-","***","163","108",
"8600000US00717","ZCTA5 00717","261","69","-","**","164","38","246","115","390","88","140","39","-","**",
"8600000US00718","ZCTA5 00718","423","74","-","**","-","**","318","107","497","135","559","83","-","**",
"8600000US00719","ZCTA5 00719","486","49","-","**","-","**","398","81","582","66","603","356","-","**",
"8600000US00720","ZCTA5 00720","376","27","-","**","-","**","342","56","403","43","-","**","-","**",
"8600000US00723","ZCTA5 00723","314","63","-","**","211","98","351","225","461","148","-","**","-","**",
"8600000US00725","ZCTA5 00725","500","25","339","104","325","70","444","31","650","36","798","114","375","84",
"8600000US00727","ZCTA5 00727","713","39","-","**","433","77","525","75","748","63","1224","254","-","**",
"8600000US00728","ZCTA5 00728","405","33","412","120","175","92","353","75","509","66","570","401","476","198",
"8600000US00729","ZCTA5 00729","524","39","-","**","416","91","444","83","635","86","606","305","317","70",
"8600000US00730","ZCTA5 00730","383","37","319","211","189","20","343","46","439","63","816","452","-","**",
"8600000US00731","ZCTA5 00731","447","38","-","**","477","17","339","114","478","64","-","**","-","**",
"8600000US00735","ZCTA5 00735","481","28","-","**","245","211","434","67","526","75","-","**","-","**",
"8600000US00736","ZCTA5 00736","476","46","196","170","234","67","418","38","553","49","592","68","-","**",
"8600000US00738","ZCTA5 00738","523","32","-","**","209","88","420","65","600","60","594","117","-","**",
"8600000US00739","ZCTA5 00739","518","24","-","**","324","200","448","65","536","27","693","230","-","**",
"8600000US00740","ZCTA5 00740","467","296","-","**","-","**","558","386","-","**","491","482","-","**",
"8600000US00741","ZCTA5 00741","561","70","-","**","-","**","-","**","578","58","-","**","-","**",
"8600000US00745","ZCTA5 00745","530","65","-","**","142","17","421","54","605","76","769","155","-","**",
"8600000US00751","ZCTA5 00751","425","47","-","**","130","98","358","36","556","106","524","200","-","**",
"8600000US00754","ZCTA5 00754","500","32","-","**","319","26","414","39","547","32","721","250","-","**",
"8600000US00757","ZCTA5 00757","458","48","-","**","223","31","361","154","600","106","589","225","-","**",
"8600000US00765","ZCTA5 00765","668","79","-","**","-","**","632","223","703","124","1013","615","-","**",
"8600000US00766","ZCTA5 00766","396","30","-","**","265","91","359","44","553","39","428","113","-","**",
"8600000US00767","ZCTA5 00767","452","55","-","**","227","73","401","125","483","93","542","328","-","**",
"8600000US00769","ZCTA5 00769","486","39","-","**","110","53","387","40","545","85","547","200","-","**",
"8600000US00771","ZCTA5 00771","539","57","-","**","188","133","436","69","649","64","651","213","-","**",
"8600000US00772","ZCTA5 00772","389","52","-","**","249","48","465","57","376","63","-","**","-","**",
"8600000US00773","ZCTA5 00773","447","94","-","**","421","47","286","55","583","130","976","279","-","**",
"8600000US00775","ZCTA5 00775","525","245","344","88","186","56","608","157","784","160","-","**","-","**",
"8600000US00777","ZCTA5 00777","429","26","-","**","262","182","418","23","487","87","469","248","-","**",
"8600000US00778","ZCTA5 00778","682","183","-","**","523","279","341","175","770","126","757","187","-","**",
"8600000US00780","ZCTA5 00780","747","90","-","**","-","**","-","**","755","188","-","**","-","**",
"8600000US00782","ZCTA5 00782","402","65","-","**","118","22","382","86","450","76","577","440","-","**",
"8600000US00783","ZCTA5 00783","514","34","-","**","-","**","419","192","522","25","-","**","-","**",
"8600000US00784","ZCTA5 00784","376","30","-","**","168","58","282","163","450","64","377","62","-","**",
"8600000US00786","ZCTA5 00786","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"8600000US00791","ZCTA5 00791","429","40","272","138","248","51","374","48","591","94","743","367","-","**",
"8600000US00794","ZCTA5 00794","412","23","-","**","147","103","401","28","448","40","399","196","-","**",
"8600000US00795","ZCTA5 00795","488","60","-","**","184","21","389","41","607","68","449","351","-","**",
"8600000US00901","ZCTA5 00901","542","81","380","63","569","55","642","280","444","374","-","**","-","**",
"8600000US00906","ZCTA5 00906","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"8600000US00907","ZCTA5 00907","746","107","527","110","531","170","932","122","800","113","1558","508","-","**",
"8600000US00909","ZCTA5 00909","484","43","376","38","425","67","556","59","554","54","-","**","-","**",
"8600000US00911","ZCTA5 00911","711","56","538","208","508","92","765","91","981","323","-","**","-","**",
"8600000US00912","ZCTA5 00912","549","36","360","122","418","67","545","23","733","119","681","580","-","**",
"8600000US00913","ZCTA5 00913","200","21","100-","***","226","53","178","33","232","55","100-","***","-","**",
"8600000US00915","ZCTA5 00915","403","20","324","23","318","55","419","24","474","32","362","123","335","157",
"8600000US00917","ZCTA5 00917","465","35","361","171","260","212","460","63","563","45","1052","833","-","**",
"8600000US00918","ZCTA5 00918","299","104","246","173","188","38","-","**","577","262","1378","444","-","**",
"8600000US00920","ZCTA5 00920","659","35","369","47","492","189","587","40","775","39","885","147","-","**",
"8600000US00921","ZCTA5 00921","507","31","470","35","300","79","478","72","619","61","698","162","-","**",
"8600000US00923","ZCTA5 00923","370","29","277","61","189","29","397","57","452","28","348","187","-","**",
"8600000US00924","ZCTA5 00924","365","40","294","112","281","42","323","72","458","72","675","317","-","**",
"8600000US00925","ZCTA5 00925","441","37","329","26","392","49","550","32","533","134","-","**","-","**",
"8600000US00926","ZCTA5 00926","593","36","436","180","409","79","476","76","771","111","1103","319","-","**",
"8600000US00927","ZCTA5 00927","531","38","501","144","483","121","521","103","580","112","744","553","615","222",
"8600000US00934","ZCTA5 00934","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"8600000US00936","ZCTA5 00936","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"8600000US00949","ZCTA5 00949","583","31","451","83","432","37","514","37","690","44","912","187","-","**",
"8600000US00950","ZCTA5 00950","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"8600000US00951","ZCTA5 00951","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"8600000US00952","ZCTA5 00952","518","121","-","**","-","**","494","34","629","79","-","**","-","**",
"8600000US00953","ZCTA5 00953","629","31","-","**","470","300","436","110","654","54","861","103","-","**",
"8600000US00956","ZCTA5 00956","571","28","398","53","400","72","519","33","671","47","865","194","854","72",
"8600000US00957","ZCTA5 00957","529","46","325","16","380","75","474","119","638","57","778","110","-","**",
"8600000US00959","ZCTA5 00959","597","31","357","321","271","95","539","44","798","62","809","55","-","**",
"8600000US00960","ZCTA5 00960","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"8600000US00961","ZCTA5 00961","549","50","423","14","451","104","502","51","736","74","735","273","-","**",
"8600000US00962","ZCTA5 00962","415","59","-","**","198","123","273","181","585","96","-","**","-","**",
"8600000US00965","ZCTA5 00965","501","78","-","**","-","**","445","116","530","143","1006","341","-","**",
"8600000US00966","ZCTA5 00966","771","120","-","**","793","304","442","345","950","566","1922","1670","-","**",
